product_id,name,slug,size,barcode_value,filename
1,Pure Wildflower Honey,pure-wildflower-honey,500g,BEE-001-500g-pure-wildflower-honey,beecone_1_500g_pure-wildflower-honey.png
2,Cinnamon Infused Honey,cinnamon-infused-honey,350g,BEE-002-350g-cinnamon-infused-honey,beecone_2_350g_cinnamon-infused-honey.png
9,Raw Forest Honey (60g),raw-forest-honey-60g,60g,BEE-009-60g-raw-forest-honey-60g,beecone_9_60g_raw-forest-honey-60g.png
10,Raw Forest Honey (100g),raw-forest-honey-100g,100g,BEE-010-100g-raw-forest-honey-100g,beecone_10_100g_raw-forest-honey-100g.png
11,Raw Forest Honey (250g),raw-forest-honey-250g,250g,BEE-011-250g-raw-forest-honey-250g,beecone_11_250g_raw-forest-honey-250g.png
12,Raw Forest Honey (400g),raw-forest-honey-400g,400g,BEE-012-400g-raw-forest-honey-400g,beecone_12_400g_raw-forest-honey-400g.png
13,Raw Forest Honey (1 litre),raw-forest-honey-1-litre,1 litre,BEE-013-1litre-raw-forest-honey-1-litre,beecone_13_1litre_raw-forest-honey-1-litre.png
14,Ginger Infused Honey (60g),ginger-infused-honey-60g,60g,BEE-014-60g-ginger-infused-honey-60g,beecone_14_60g_ginger-infused-honey-60g.png
15,Ginger Infused Honey (100g),ginger-infused-honey-100g,100g,BEE-015-100g-ginger-infused-honey-100g,beecone_15_100g_ginger-infused-honey-100g.png
16,Ginger Infused Honey (250g),ginger-infused-honey-250g,250g,BEE-016-250g-ginger-infused-honey-250g,beecone_16_250g_ginger-infused-honey-250g.png
17,Ginger Infused Honey (400g),ginger-infused-honey-400g,400g,BEE-017-400g-ginger-infused-honey-400g,beecone_17_400g_ginger-infused-honey-400g.png
18,Ginger Infused Honey (1 litre),ginger-infused-honey-1-litre,1 litre,BEE-018-1litre-ginger-infused-honey-1-litre,beecone_18_1litre_ginger-infused-honey-1-litre.png
5,Creamed Vanilla Honey,creamed-vanilla-honey,300g,BEE-005-300g-creamed-vanilla-honey,beecone_5_300g_creamed-vanilla-honey.png
6,Natural Honeycomb,natural-honeycomb,400g,BEE-006-400g-natural-honeycomb,beecone_6_400g_natural-honeycomb.png
7,Beecone Gift Set,beecone-gift-set,3 × 200g,BEE-007-3x200g-beecone-gift-set,beecone_7_3x200g_beecone-gift-set.png
8,Turmeric Golden Honey,turmeric-golden-honey,350g,BEE-008-350g-turmeric-golden-honey,beecone_8_350g_turmeric-golden-honey.png
